region	country	station	station_active_date	station_inactive_date	reactive_c2c_id	time_zone	queue_name	sun_open	sun_close	mon_open	mon_close	tue_open	tue_close	wed_open	wed_close	thu_open	thu_close	fri_open	fri_close	sat_open	sat_close	active_flag
EU	IN	STVC	2021-03-21	2099-12-31	3afbc3b5-7125-44ce-af76-5d766a0a3773	Asia/Kolkata	SDS-IN-DSL-STVC-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
FE	AU	DNS2	2020-07-21	2099-12-31	dbdd9696-4a2b-48fa-b221-ac1018f8fe4c	Australia/Sydney	SDS-AU-DSL-DNS2-EMAIL	10:00	17:00	10:00	17:00	10:00	17:00	10:00	17:00	10:00	17:00	10:00	17:00	10:00	17:00	ACTIVE
NA	US	DBU3	2021-03-15	2099-12-31	91124fc5-aabd-4b03-9b0d-757d82f494a8	America/New_York	SDS-US-DSL-DBU3-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DWA9	2020-09-21	2099-12-31	81be8a29-9c31-40f1-bb1b-12947693011f	America/Los_Angeles	SDS-US-DSL-DWA9-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	OML1	2018-11-18	2099-12-31	7b0cce81-b845-42b7-920a-a6b5e36d4045	Europe/Madrid	SDS-ES-DSL-OML1-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
FE	JP	DTK3	2020-05-26	2099-12-31	0dc2f77d-4ea3-48ce-9d09-9b48342c8f94	Asia/Tokyo	SDS-JP-DSL-DTK3-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DTU7	2021-09-13	2099-12-31	74c445d7-3350-407b-9c53-c0dea2b6763c	America/Phoenix	SDS-US-DSL-DTU7-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	FR	OWP5	2018-11-18	2099-12-31	997a9750-1bc6-4c98-adae-055f3f39152b	Europe/Paris	SDS-FR-DSL-DWP1-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	PNQK	2021-03-31	2099-12-31	ccd33ef2-8ba9-4117-9dc4-20affd069d2e	Asia/Kolkata	SDS-IN-DSL-PNQK-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	FR	DAC8	2020-10-22	2099-12-31	715c5990-979c-4156-9039-2002c23b51f1	Europe/Paris		09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	MUMZ	2021-03-21	2099-12-31	afc9d90b-f6c1-4f0c-8ccc-d10bf3e00994	Asia/Kolkata	AmazonInDSLMUMZEmail	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DKY4	2020-02-27	2099-12-31	ad571e88-e96e-4e6b-a197-4ad25bbaa92b	America/New_York	SDS-US-DSL-DKY4-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	VTZH	2020-11-16	2099-12-31	b2097626-059f-4832-9f7f-941c12f7209b	Asia/Kolkata	SDS-IN-DSL-VTZH-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DTB2	2021-03-10	2099-12-31	11183071-a2d9-4d83-aa81-b5daa1d112d9	America/New_York	SDS-US-DSL-DTB2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	OCM2	2019-06-13	2099-12-31	59f9b6f0-428e-4dca-b8b7-0de78fb8c6ca	Europe/Madrid	SDS-ES-DSL-DMA3-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	IXEE	2021-03-21	2099-12-31	62a3d5d2-98a5-42c7-9ea6-1860922e2c16	Asia/Kolkata	SDS-IN-DSL-IXEE-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DMH9	2020-07-21	2099-12-31	21cc2e31-e083-4f26-9aec-c5da61beb90a	America/New_York	SDS-US-DSL-DMH9-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	FR	DIF2	2018-11-18	2099-12-31	b2ed8016-58d3-4c5d-9f82-e271eba4b1ab	Europe/Paris	SDS-FR-DSL-DIF2-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
FE	JP	DHK1	2019-11-10	2099-12-31	42f82b97-2da8-449c-81bb-110f127f45b1	Asia/Tokyo	SDS-JP-DSL-DHK1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	CA	DVV5	2021-09-29	2099-12-31	c22cc222-1846-4791-9ce4-724de995c49d	America/Los_Angeles	AmazonCaDSLDVV5Email2	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IT	DFV1	2019-09-16	2099-12-31	984bdb57-4208-403e-a6fa-ca1c50c6f987	Europe/Rome	SDS-IT-DSL-DFV1-EMAIL	09:00	16:00	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	ACTIVE
NA	US	DUR1	2021-05-19	2099-12-31	66fc632b-6f8f-46f1-8515-4a3b4366157c	America/Los_Angeles	SDS-US-DSL-DUR1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	VLRD	2021-03-21	2099-12-31	aa864ec1-672f-4f81-8c90-7f21e1c9fac2	Asia/Kolkata	SDS-IN-DSL-VLRD-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	IT	DLZ1	2019-05-19	2099-12-31	65153f62-f2d8-497c-8289-49e71d29d8a2	Europe/Rome	SDS-IT-DSL-DLZ1-EMAIL	09:00	16:00	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	ACTIVE
EU	DE	DBW5	2020-09-16	2099-12-31	452b1f92-b689-487f-8b0e-b149a62bce2a	Europe/Berlin	SDS-DE-DSL-DBW5-EMAIL	00:00	00:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
NA	US	DNJ2	2020-05-20	2099-12-31	15a15e39-b7af-41b8-8d7e-2c92cc3ef47b	America/New_York	SDS-US-DSL-DNJ2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DOB4	2020-07-27	2099-12-31	f3b25fd0-898a-4e1e-80dc-4973d2b393a9	America/New_York	SDS-US-DSL-DOB4-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DNA1	2018-11-25	2099-12-31	92bcce44-eb6d-42b0-9a83-90511018e851	America/Chicago	SDS-US-DSL-DNA1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	MX	DMD1	2019-06-23	2099-12-31	3d175e20-55bb-47f5-866d-66aa49b1b18f	America/Mexico_City	SDS-MX-DSL-DMD1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	EG	DEX5	2021-10-04	2099-12-31	ac918b35-dfe4-4d8c-a5eb-9d798741edc5	Africa/Cairo	AmazonEgDSLDEX5Email	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	MAAP	2020-11-16	2099-12-31	ca4914a0-0db5-4fb2-9afb-520ef9591cfe	Asia/Kolkata	SDS-IN-DSL-MAAP-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DPX8	2020-09-29	2099-12-31	a4dd9188-10d9-42f8-9341-b4b7391bfb4d	America/Phoenix	SDS-US-DSL-DPX8-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	CA	DTO1	2019-06-23	2099-12-31	bf84670e-963e-463c-ba68-94ca6e52341e	America/New_York	SDS-CA-DSL-DTO1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	PTJD	2021-03-18	2099-12-31	83f30d9a-e247-499e-8e80-90189c54959f	Asia/Kolkata	SDS-IN-DSL-PTJD-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DXH6	2020-06-30	2099-12-31	981730bb-0234-4582-8655-25c6e977e85f	America/Chicago	SDS-US-DSL-DXH6-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
FE	JP	ONG9	2021-03-14	2099-12-31	399be1f5-c9d4-4d7c-8b9b-902a33aedfcb	Asia/Tokyo	SDS-JP-DSL-DAI1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	GZBJ	2020-11-16	2022-06-30	42f73d7a-0313-4a60-926c-6e64eddf49c7	Asia/Kolkata	SDS-IN-DSL-GZBJ-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DDC4	2018-12-09	2099-12-31	509f1c01-e30f-45e9-9efa-32f1549693a7	America/New_York	SDS-US-DSL-DDC4-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
FE	JP	DAI1	2019-09-01	2099-12-31	e37f4a89-c292-45dd-8457-e3c3f0a19f1d	Asia/Tokyo	SDS-JP-DSL-DAI1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	FR	DAR2	2021-10-07	2099-12-31	187f98d2-09de-4a27-8c9f-90beb90203e4	Europe/Paris	SDS-FR-DSL-DAR2-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	UK	DHW1	2021-08-05	2099-12-31	6008cee5-2392-47f7-8042-88f445f83778	Europe/London	AmazonUkDSLDHW1Email	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DTG5	2021-09-13	2099-12-31	2d709581-8fae-4fae-8647-bca69ed1a82a	America/New_York	AmazonUsDSLDTG5Email	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	DELC	2019-03-31	2099-12-31	cf6d2bff-bfb6-4223-8a0a-20b9326cd238	Asia/Kolkata	SDS-IN-DSL-DELC-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
FE	JP	DEJ7	2021-10-12	2099-12-31	2fde5589-7758-4763-833e-fa4b987c2dbb	Asia/Tokyo	AmazonJpDSLDEJ7Email	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	AT	DVI2	2020-07-15	2099-12-31	c6b5abd5-5af7-4ddb-a6c6-b0a699c6bf9e	Europe/Berlin	SDS-DE-DSL-DVI2-EMAIL	10:00	18:30	10:00	18:30	10:00	18:30	10:00	18:30	10:00	18:30	10:00	18:30	10:00	18:30	ACTIVE
